chunk,season,n,chunk_min_date,chunk_max_date,train_max_date,xfg_log_loss,xfg_brier,xfg_auc,xfg_frozen_log_loss,xfg_frozen_brier,xfg_frozen_auc,xfg_zone_log_loss,xfg_zone_brier,xfg_zone_auc
55,2024-25,9355,20241125,20241201,20241124,0.6436587572097778,0.2271530032157898,0.6432700573010026,0.6453196406364441,0.22792696952819824,0.6384572493554888,0.6626525692590393,0.23505884890381049,0.6286670930218793
56,2024-25,9679,20241202,20241208,20241201,0.6366857290267944,0.22423164546489716,0.6585722738065313,0.639093816280365,0.22534994781017303,0.6506364849195787,0.6570769362135882,0.23229217887200132,0.6386712769553932
57,2024-25,4446,20241209,20241215,20241208,0.6340534090995789,0.2227286696434021,0.6611074873094375,0.6373656988143921,0.2242877185344696,0.6500416147587691,0.6564381299454514,0.23207408607781355,0.6304409409221454
58,2024-25,6601,20241216,20241222,20241215,0.6374827027320862,0.2245253622531891,0.6505749678241963,0.6397604942321777,0.22559432685375214,0.6433484861369647,0.6605103979861332,0.23406722212980702,0.6274919530514578
59,2024-25,9101,20241223,20241229,20241222,0.6376187801361084,0.2246619015932083,0.6537904181371101,0.6403348445892334,0.2259574681520462,0.6428543926468991,0.6576313751732584,0.23262194009403658,0.6348249509560868
60,2024-25,9103,20241230,20250105,20241229,0.636480450630188,0.22399117052555084,0.6523693965522672,0.6384080648422241,0.2248721569776535,0.6473317231751975,0.6575332059283601,0.23248639391805417,0.639327808738339
61,2024-25,9166,20250106,20250112,20250105,0.6428753733634949,0.22642646729946136,0.6490227285519425,0.644487738609314,0.2271859049797058,0.6447930071889719,0.6606817849120902,0.23406297581287214,0.6291142942340925
62,2024-25,9064,20250113,20250119,20250112,0.6408065557479858,0.22620075941085815,0.6476669440077986,0.6422140598297119,0.22688661515712738,0.6426416066668101,0.6609023874828658,0.23426391716984854,0.6323611894453758
63,2024-25,8601,20250120,20250126,20250119,0.6451985239982605,0.22750113904476166,0.6474921382217858,0.6478936076164246,0.22876150906085968,0.6384336532139214,0.661983712827953,0.23469864544195132,0.6235221147603422
64,2024-25,9486,20250127,20250202,20250126,0.6364927887916565,0.22406984865665436,0.662066853753988,0.638422966003418,0.22494050860404968,0.6551640712143723,0.6587790253147489,0.23323934084857956,0.640252445356935
65,2024-25,9915,20250203,20250209,20250202,0.6365129947662354,0.2241095006465912,0.6545992502933013,0.6379162669181824,0.22477656602859497,0.6500349100065814,0.6588110378979743,0.23324166424185228,0.628766949135221
66,2024-25,6181,20250210,20250213,20250209,0.6286059617996216,0.2204647958278656,0.6773156054920833,0.6308671832084656,0.22150757908821106,0.6688743038145075,0.6529987638527002,0.2304674643992571,0.6528409521125339
